loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,revol_bal,revol_util,total_acc,longest_credit_length
4204,36 months,22.3,889.12,F,2 years,MORTGAGE,179777.29,Charged Off,debt_consolidation,7.42,5,633,639,9,40855,10.74,44,14
25832,60 months,19.86,177.47,B,8 years,RENT,143152.41,Fully Paid,home_improvement,24.15,2,828,641,1,13918,54.62,25,15
15492,60 months,5.08,243.21,A,7 years,MORTGAGE,26955.55,Default,small_business,10.8,6,656,765,2,49654,44.94,14,38
35301,60 months,20.65,183.75,E,3 years,MORTGAGE,24602.08,Default,credit_card,0.82,9,777,612,5,11405,99.89,8,48
37696,36 months,21.74,785.51,B,6 years,MORTGAGE,119311.99,Fully Paid,home_improvement,1.57,3,756,813,4,11255,99.91,26,17
1109,36 months,11.73,255.88,F,3 years,OTHER,128466.98,Default,small_business,11.35,5,837,718,0,22106,96.35,11,33
1913,60 months,9.51,312.45,E,1 year,MORTGAGE,182410.99,Fully Paid,credit_card,1.82,7,782,775,6,18606,7.95,21,25
7894,60 months,13.84,469.15,F,8 years,MORTGAGE,33311.77,Default,major_purchase,26.04,4,848,626,9,5790,96.18,5,9
3752,36 months,14.58,773.66,B,7 years,OTHER,182289.74,Default,small_business,7.97,4,756,673,2,13566,11.3,13,48
22873,60 months,23.1,810.39,C,10+ years,OTHER,152509.41,Charged Off,small_business,3.79,0,747,660,2,8074,1.0,34,17
33333,36 months,15.05,506.44,D,2 years,MORTGAGE,20529.68,Fully Paid,credit_card,1.49,9,736,682,1,35732,7.77,11,43
25681,60 months,14.9,865.78,F,9 years,RENT,67080.12,Default,debt_consolidation,14.51,9,848,801,8,48606,28.59,13,40
26677,60 months,10.66,676.41,F,< 1 year,MORTGAGE,177126.07,Charged Off,major_purchase,20.23,0,758,711,2,12716,65.95,32,46
14232,36 months,15.35,65.27,B,8 years,OTHER,190630.02,Charged Off,home_improvement,2.41,5,658,770,2,30688,23.7,12,37
33372,36 months,23.32,597.78,C,7 years,MORTGAGE,21170.74,Fully Paid,home_improvement,26.37,6,708,674,8,23389,21.54,5,41
9289,36 months,10.49,653.18,C,10+ years,RENT,35647.59,Fully Paid,debt_consolidation,19.73,2,610,813,6,10273,96.72,31,39
14800,36 months,6.85,384.34,F,5 years,MORTGAGE,184766.37,Charged Off,major_purchase,14.42,5,634,711,8,4759,51.86,14,13
17232,36 months,15.76,919.04,E,7 years,RENT,157199.97,Charged Off,home_improvement,16.71,5,620,633,3,47220,66.78,34,15
39159,60 months,5.34,980.23,D,10+ years,OWN,79583.79,Fully Paid,major_purchase,22.87,3,737,667,9,20701,82.36,29,8
6600,36 months,14.15,856.75,D,8 years,MORTGAGE,142004.11,Fully Paid,major_purchase,9.36,2,781,726,1,42175,68.62,12,42
36217,36 months,23.95,644.42,G,3 years,OWN,157608.71,Charged Off,home_improvement,25.33,1,826,686,9,38224,3.98,39,26
27938,36 months,11.41,774.03,B,6 years,OWN,151922.3,Charged Off,small_business,7.2,4,661,659,5,19995,59.73,35,36
31762,36 months,13.9,669.3,C,10+ years,OWN,72936.01,Fully Paid,home_improvement,29.15,6,835,725,3,5890,90.91,20,44
19512,60 months,19.95,676.52,A,9 years,OWN,68595.88,Charged Off,small_business,8.92,5,800,816,4,14827,83.39,11,13
37868,60 months,19.67,480.88,D,2 years,OTHER,195057.01,Charged Off,credit_card,5.3,6,754,835,3,9318,84.45,29,15
20661,36 months,22.67,603.73,D,6 years,MORTGAGE,178181.57,Charged Off,credit_card,25.75,0,607,797,2,49988,46.56,10,11
3389,60 months,14.52,687.13,G,10+ years,OWN,47389.11,Charged Off,credit_card,7.52,4,715,784,9,6422,91.75,29,35
33502,60 months,14.41,639.67,F,3 years,OTHER,56571.02,Default,small_business,23.72,8,735,779,3,15277,29.4,39,15
2221,36 months,6.73,850.33,B,1 year,MORTGAGE,154223.85,Fully Paid,home_improvement,16.75,1,632,683,1,35428,69.23,43,23
26007,36 months,8.42,335.56,D,1 year,RENT,182731.86,Charged Off,debt_consolidation,17.7,9,797,786,7,3300,2.88,24,13
22273,60 months,18.19,414.1,B,9 years,MORTGAGE,71703.53,Charged Off,credit_card,12.31,3,630,654,9,24515,55.61,40,26
20938,36 months,22.83,211.02,C,10+ years,MORTGAGE,20788.62,Default,credit_card,10.67,0,719,766,1,10786,25.37,29,33
10340,36 months,11.37,304.55,C,6 years,OTHER,61134.21,Charged Off,credit_card,10.18,0,838,660,9,7126,98.08,40,26
7324,36 months,13.58,507.52,E,7 years,RENT,103919.0,Charged Off,small_business,4.04,3,829,842,5,36348,61.11,49,5
2766,60 months,11.31,66.2,G,7 years,OTHER,56513.38,Default,debt_consolidation,5.95,8,706,789,3,7106,67.69,11,29
25597,60 months,14.97,122.27,F,< 1 year,MORTGAGE,85910.65,Charged Off,credit_card,17.21,1,640,756,2,18267,24.81,11,26
31586,60 months,7.38,628.57,E,7 years,RENT,127859.68,Default,credit_card,24.35,6,681,672,9,18066,13.12,35,40
31846,36 months,6.46,549.89,F,2 years,RENT,50622.83,Fully Paid,credit_card,15.58,0,681,828,7,45801,11.9,25,19
38395,36 months,14.65,431.38,F,8 years,OTHER,129222.89,Default,small_business,10.89,7,818,701,5,32413,24.54,6,48
29152,36 months,14.91,345.96,A,2 years,RENT,123494.29,Charged Off,small_business,19.6,5,746,604,5,37322,87.92,37,11
34451,36 months,21.79,79.74,G,1 year,MORTGAGE,135861.95,Fully Paid,credit_card,0.91,2,718,773,9,6,41.4,42,42
27568,60 months,10.04,856.75,E,< 1 year,MORTGAGE,45874.49,Charged Off,debt_consolidation,21.4,7,810,643,1,11366,13.11,40,37
34795,36 months,17.65,643.91,A,3 years,MORTGAGE,123357.6,Default,major_purchase,8.19,2,832,756,9,21081,95.33,7,36
3895,60 months,12.01,121.49,D,7 years,RENT,80881.8,Charged Off,small_business,15.2,2,820,745,1,34145,15.72,26,5
20943,60 months,15.92,965.15,A,3 years,OTHER,172304.17,Default,small_business,23.16,9,706,764,1,19850,53.34,29,22
30442,36 months,23.88,495.13,C,5 years,MORTGAGE,182883.75,Fully Paid,major_purchase,19.13,8,847,837,4,32376,97.19,18,37
31055,60 months,20.35,432.4,D,6 years,OWN,120943.32,Fully Paid,major_purchase,23.87,3,838,823,8,47211,14.67,38,2
4492,60 months,20.68,325.01,B,3 years,OWN,136596.84,Default,credit_card,9.79,0,634,662,0,1350,20.65,11,6
36674,36 months,14.72,406.75,C,2 years,MORTGAGE,175626.49,Default,major_purchase,0.53,4,822,842,4,514,63.37,41,3
10318,60 months,11.47,802.19,D,7 years,OWN,71527.93,Charged Off,major_purchase,3.59,6,703,812,2,36295,49.84,23,41
24834,60 months,9.24,705.87,C,7 years,MORTGAGE,124071.98,Fully Paid,debt_consolidation,18.68,5,753,682,2,45447,24.84,25,7
29702,60 months,16.74,672.08,C,5 years,RENT,91741.32,Default,home_improvement,3.22,7,615,621,1,11031,53.71,13,40
6422,36 months,6.57,616.76,E,8 years,RENT,136785.15,Default,small_business,1.41,3,836,749,0,1246,47.39,34,23
31627,60 months,20.81,620.96,B,9 years,OTHER,124642.79,Fully Paid,credit_card,28.71,5,730,622,3,19389,50.6,19,4
9885,36 months,12.55,687.94,G,< 1 year,OTHER,121525.41,Default,home_improvement,21.88,3,734,798,6,43959,25.02,47,35
37179,36 months,10.25,979.28,G,< 1 year,OTHER,28318.33,Default,small_business,6.47,4,819,668,0,39788,23.51,24,14
3701,36 months,12.05,229.36,G,10+ years,OTHER,153878.67,Default,credit_card,7.72,2,665,684,3,29229,19.84,27,43
23153,36 months,12.63,187.84,B,9 years,OWN,133694.39,Fully Paid,debt_consolidation,27.76,3,793,630,2,14964,8.53,6,19
5975,36 months,6.59,366.53,F,10+ years,MORTGAGE,72779.8,Fully Paid,major_purchase,7.06,9,641,756,6,16180,57.97,47,10
35855,60 months,20.05,472.19,G,3 years,RENT,151156.66,Charged Off,credit_card,19.31,0,752,676,6,27245,31.56,46,28
1523,60 months,18.2,310.02,G,10+ years,RENT,75874.91,Default,credit_card,12.35,5,673,750,1,44732,35.15,10,26
18664,36 months,24.54,137.04,B,3 years,MORTGAGE,151988.5,Default,home_improvement,16.28,7,697,684,9,39293,87.08,44,28
29329,36 months,22.72,936.03,C,3 years,MORTGAGE,143985.19,Default,credit_card,19.38,1,804,775,1,29836,1.78,10,25
5422,60 months,8.24,968.06,B,5 years,OTHER,77773.25,Fully Paid,debt_consolidation,7.73,5,781,704,8,1829,71.89,40,35
1696,60 months,12.57,585.72,D,7 years,RENT,30868.68,Charged Off,debt_consolidation,17.42,1,706,687,4,8505,91.87,5,6
30712,60 months,20.41,95.24,E,10+ years,RENT,143801.29,Fully Paid,home_improvement,4.36,2,744,699,6,39447,9.22,42,28
23556,60 months,20.74,720.07,B,6 years,RENT,29295.52,Charged Off,credit_card,20.52,4,830,617,6,6510,27.73,38,15
4303,36 months,11.81,862.79,G,8 years,OTHER,40208.88,Charged Off,home_improvement,3.44,8,720,735,7,43683,24.42,12,2
36511,36 months,16.37,680.09,D,7 years,RENT,68633.08,Charged Off,credit_card,0.97,8,748,610,5,44955,44.36,29,13
1417,36 months,14.53,963.74,F,7 years,RENT,105904.41,Fully Paid,small_business,3.61,0,776,649,5,6265,32.84,33,24
22133,36 months,20.6,705.21,B,< 1 year,OWN,180559.74,Default,major_purchase,26.71,6,636,782,4,21671,83.86,13,30
6470,36 months,5.38,961.67,A,1 year,OWN,122615.35,Default,debt_consolidation,12.67,5,657,622,7,33213,22.22,35,34
32761,60 months,24.22,152.81,D,10+ years,OTHER,167695.98,Default,major_purchase,19.11,5,700,688,8,14458,93.16,10,35
35533,60 months,11.2,927.2,A,7 years,OTHER,93110.69,Default,debt_consolidation,27.33,6,721,617,4,15961,11.48,30,37
37128,60 months,11.07,594.21,G,< 1 year,MORTGAGE,98600.67,Default,credit_card,25.86,2,772,765,2,4729,29.84,45,8
5222,36 months,10.93,591.28,F,1 year,RENT,87299.96,Default,debt_consolidation,2.87,6,655,725,6,14489,14.78,34,46
23844,36 months,14.05,820.92,A,8 years,OWN,45721.76,Fully Paid,major_purchase,25.86,4,664,811,7,14700,35.05,33,3
6771,36 months,21.23,562.6,B,4 years,OTHER,95338.52,Fully Paid,home_improvement,1.86,4,717,821,4,36780,83.91,7,8
33374,60 months,20.05,602.58,G,5 years,OWN,48055.39,Fully Paid,debt_consolidation,14.19,2,719,740,6,40528,80.41,27,40
17010,36 months,21.37,476.57,D,9 years,RENT,176589.61,Charged Off,small_business,19.38,1,625,683,8,42474,86.0,47,22
32201,60 months,15.53,407.65,F,2 years,OWN,166274.08,Fully Paid,home_improvement,4.81,5,819,726,8,18027,29.59,33,28
39314,60 months,20.41,161.11,C,1 year,MORTGAGE,74992.25,Default,home_improvement,15.59,7,813,784,7,31109,51.65,7,28
28736,36 months,8.71,339.52,F,< 1 year,OTHER,100098.86,Charged Off,small_business,18.5,9,720,667,9,4675,63.52,14,7
12754,36 months,22.01,82.41,B,1 year,OTHER,156824.28,Charged Off,credit_card,3.98,7,685,660,1,11218,95.81,21,15
2228,60 months,8.94,196.26,G,3 years,OWN,24292.46,Charged Off,home_improvement,17.84,0,684,610,2,43128,9.96,37,10
6528,36 months,13.33,68.31,A,< 1 year,OWN,71643.11,Charged Off,major_purchase,14.1,9,613,769,5,26731,17.45,11,29
28503,60 months,13.44,545.87,G,8 years,RENT,147599.29,Fully Paid,small_business,17.06,0,803,821,9,2734,75.47,15,36
36094,60 months,21.08,527.22,G,2 years,OTHER,124408.06,Default,home_improvement,29.38,3,741,735,5,189,44.7,32,8
24388,60 months,11.82,557.61,E,< 1 year,RENT,138488.84,Fully Paid,major_purchase,19.55,9,749,661,4,23436,46.39,39,11
14334,60 months,5.28,597.48,B,10+ years,MORTGAGE,53705.75,Charged Off,debt_consolidation,13.53,0,673,831,2,17057,2.0,26,18
4949,60 months,21.37,986.28,G,7 years,MORTGAGE,67511.88,Default,debt_consolidation,16.8,3,798,809,6,36551,27.19,36,3
3279,36 months,11.96,254.67,F,10+ years,RENT,130622.4,Fully Paid,major_purchase,23.4,4,823,833,9,47342,84.73,10,42
5596,60 months,7.91,461.17,B,< 1 year,MORTGAGE,33543.6,Charged Off,major_purchase,19.18,5,690,752,3,20335,5.33,27,17
2981,36 months,24.82,615.61,E,4 years,OTHER,24407.35,Default,small_business,16.11,3,807,768,9,33006,80.99,6,44
13099,36 months,18.36,783.59,E,7 years,OWN,149396.81,Fully Paid,home_improvement,1.24,3,652,618,9,18384,76.61,6,27
5068,36 months,15.56,110.0,F,5 years,RENT,97422.79,Default,home_improvement,2.63,1,773,772,9,26576,44.01,48,31
6319,60 months,11.95,575.76,G,10+ years,OTHER,183531.65,Charged Off,home_improvement,4.4,3,685,690,8,24237,8.12,29,12
10650,36 months,6.03,160.44,B,< 1 year,MORTGAGE,90601.22,Default,home_improvement,25.74,7,657,687,0,41121,36.53,13,16
34246,60 months,16.11,746.28,G,1 year,OWN,63941.44,Fully Paid,credit_card,0.36,2,679,700,5,22638,21.49,22,39
23610,36 months,15.07,589.82,E,8 years,MORTGAGE,199319.96,Fully Paid,small_business,5.33,0,797,636,6,6317,36.12,42,17
22111,36 months,6.68,561.62,A,7 years,OTHER,136638.25,Charged Off,major_purchase,28.01,5,737,841,7,48057,77.0,25,39
9724,36 months,11.98,652.41,G,8 years,OWN,143539.98,Default,debt_consolidation,28.26,5,680,820,5,13854,39.85,8,18
27679,60 months,13.86,320.4,C,3 years,OWN,104976.73,Default,debt_consolidation,22.5,7,753,725,8,10024,49.52,49,19
9650,60 months,22.44,856.81,A,3 years,RENT,85937.3,Fully Paid,home_improvement,22.25,4,694,638,1,33774,49.89,9,38
29775,60 months,22.51,458.68,D,3 years,RENT,196255.63,Fully Paid,small_business,23.49,6,663,701,8,25737,19.35,11,27
31626,36 months,23.48,992.21,E,6 years,OWN,45546.61,Fully Paid,debt_consolidation,28.81,9,688,757,5,14186,89.76,36,44
25576,36 months,19.77,548.09,C,3 years,OWN,49641.83,Default,credit_card,4.08,1,679,804,1,30888,96.27,27,16
15331,36 months,6.77,935.35,G,1 year,OTHER,151923.73,Default,small_business,26.06,5,775,668,8,49650,11.93,8,35
38544,36 months,9.79,999.76,D,3 years,RENT,123528.87,Default,home_improvement,3.93,9,649,633,5,1937,62.03,31,20
17401,36 months,5.97,406.34,D,5 years,MORTGAGE,137992.79,Charged Off,home_improvement,16.23,8,801,602,2,12263,82.44,13,12
26681,60 months,18.12,544.83,G,3 years,RENT,26330.47,Fully Paid,home_improvement,14.06,8,691,803,0,196,43.63,46,19
39970,36 months,23.7,402.06,B,9 years,MORTGAGE,29783.25,Fully Paid,small_business,21.67,9,822,790,6,46786,61.73,20,13
3145,36 months,20.27,300.96,A,3 years,OTHER,43433.89,Fully Paid,home_improvement,26.62,2,677,661,2,6507,68.23,44,48
14043,36 months,16.75,192.02,F,1 year,OWN,153242.48,Default,small_business,26.62,8,778,706,1,7966,58.12,34,22
39294,60 months,18.84,765.0,G,10+ years,OTHER,48672.59,Fully Paid,credit_card,29.55,0,655,769,8,47575,84.12,6,12
4318,36 months,14.28,688.53,D,8 years,MORTGAGE,178058.72,Fully Paid,home_improvement,2.24,3,760,801,7,17082,19.19,28,12
20824,36 months,21.98,833.91,F,8 years,MORTGAGE,164475.76,Charged Off,home_improvement,14.31,7,841,638,9,17885,75.55,19,11
5230,36 months,13.84,420.39,G,9 years,OWN,87183.91,Fully Paid,small_business,5.91,0,794,657,9,17240,76.46,33,41
10204,60 months,5.13,602.89,C,6 years,OWN,167158.4,Default,small_business,9.53,6,815,605,8,3901,3.22,18,37
30727,60 months,9.92,620.86,F,< 1 year,MORTGAGE,103282.24,Default,debt_consolidation,9.53,1,645,756,3,39970,22.97,26,25
11883,36 months,16.24,597.51,G,8 years,MORTGAGE,128327.86,Fully Paid,major_purchase,26.52,9,698,758,6,7789,36.9,32,23
18183,36 months,11.46,56.17,F,8 years,OWN,136153.42,Default,debt_consolidation,11.26,4,774,761,0,35056,0.45,36,12
8275,60 months,13.33,211.75,A,1 year,OTHER,29184.61,Fully Paid,small_business,18.0,5,770,795,2,11122,83.47,20,14
14637,60 months,16.64,755.39,D,3 years,RENT,131133.22,Charged Off,small_business,8.98,2,804,662,1,16138,51.94,21,22
39734,36 months,6.33,345.82,B,4 years,MORTGAGE,166764.29,Charged Off,small_business,20.13,2,821,729,3,49081,49.67,15,39
35031,60 months,10.82,763.77,E,< 1 year,RENT,199330.15,Default,credit_card,24.38,0,732,617,7,42887,88.03,28,32
26458,60 months,16.67,673.49,B,2 years,RENT,152558.93,Fully Paid,small_business,13.03,0,694,708,7,1164,49.65,16,40
9468,36 months,20.9,696.04,E,8 years,MORTGAGE,88923.66,Fully Paid,debt_consolidation,3.54,9,757,604,0,26889,63.49,31,16
37476,60 months,24.98,869.98,A,8 years,OWN,147377.98,Default,small_business,1.52,9,676,812,3,21237,77.1,35,46
20823,60 months,7.1,915.76,E,8 years,OTHER,151327.9,Default,small_business,29.33,2,726,622,6,19727,57.17,30,13
29322,36 months,19.85,765.17,B,2 years,RENT,119443.84,Charged Off,small_business,29.34,6,633,689,5,32357,82.15,18,39
9945,36 months,18.98,952.33,F,6 years,OWN,196246.73,Charged Off,home_improvement,4.35,8,794,614,6,25902,76.23,45,43
22340,60 months,18.8,631.76,D,6 years,OWN,171670.44,Charged Off,credit_card,18.21,5,712,645,9,25338,89.47,36,4
35844,36 months,7.16,91.42,A,3 years,RENT,52141.91,Default,debt_consolidation,5.38,3,791,678,5,1438,61.72,9,39
4592,36 months,10.33,607.75,E,7 years,RENT,73441.39,Default,small_business,19.53,3,613,787,3,45142,14.27,31,45
16738,60 months,7.98,627.91,D,4 years,OTHER,94853.44,Charged Off,credit_card,8.69,5,778,714,9,18035,54.03,31,41
2118,36 months,19.86,997.84,B,7 years,OWN,76694.31,Default,debt_consolidation,25.83,6,628,691,9,12705,44.64,18,3
39292,36 months,18.58,239.13,B,4 years,OTHER,130952.86,Fully Paid,credit_card,10.47,4,738,767,1,29808,3.82,32,29
14995,60 months,18.04,263.58,G,< 1 year,MORTGAGE,58000.94,Default,credit_card,15.12,4,752,609,9,42413,59.38,6,46
20343,36 months,21.62,212.03,G,< 1 year,RENT,76597.39,Default,major_purchase,26.17,4,775,843,1,42156,88.05,47,31
29029,36 months,20.9,146.06,E,1 year,OTHER,44017.05,Fully Paid,debt_consolidation,5.53,2,729,737,0,7912,56.93,5,25
33729,36 months,14.7,953.15,A,5 years,RENT,113286.55,Charged Off,debt_consolidation,2.0,8,846,782,8,28449,93.58,16,16
3004,36 months,17.68,104.51,D,4 years,OTHER,177203.78,Fully Paid,debt_consolidation,6.64,9,842,709,6,6478,22.25,6,43
3515,36 months,19.07,644.19,E,1 year,RENT,123217.79,Charged Off,major_purchase,0.19,2,820,626,1,22028,86.15,18,15
38550,60 months,23.51,495.17,G,7 years,MORTGAGE,23531.35,Default,credit_card,28.42,4,617,648,6,24303,5.92,12,47
38917,36 months,20.48,727.23,G,9 years,MORTGAGE,141490.96,Default,major_purchase,14.81,9,758,670,9,26735,95.39,29,47
7517,60 months,19.13,701.4,E,1 year,MORTGAGE,52477.3,Default,major_purchase,19.78,6,849,746,0,11939,10.52,46,30
30523,36 months,19.44,939.4,D,1 year,RENT,112670.76,Fully Paid,debt_consolidation,28.56,7,661,610,1,36646,37.03,44,21
16419,36 months,15.03,493.78,E,8 years,MORTGAGE,132623.46,Default,debt_consolidation,21.58,7,832,675,4,44749,19.32,30,14
15595,60 months,6.62,688.46,F,7 years,MORTGAGE,57389.04,Charged Off,home_improvement,6.65,0,653,818,4,27707,86.13,18,20
39276,36 months,23.53,642.03,G,1 year,MORTGAGE,67389.48,Charged Off,debt_consolidation,15.82,8,722,629,8,13419,69.35,44,5
9003,60 months,8.09,898.65,F,4 years,RENT,141896.71,Default,home_improvement,9.96,2,633,614,6,49852,77.03,35,34
17508,36 months,15.43,947.15,C,6 years,RENT,154325.77,Charged Off,small_business,14.32,1,639,769,2,16206,21.25,30,14
23965,60 months,21.16,393.4,E,4 years,OTHER,182692.14,Fully Paid,credit_card,10.68,1,672,735,3,37643,46.98,25,28
37330,36 months,21.66,970.16,G,4 years,RENT,150238.67,Fully Paid,debt_consolidation,7.49,3,770,716,8,5934,73.71,26,25
29306,60 months,11.11,874.53,F,5 years,RENT,71331.08,Fully Paid,home_improvement,22.68,8,824,702,6,37295,64.97,19,32
1231,60 months,11.33,133.58,C,8 years,RENT,184708.37,Default,credit_card,13.92,3,611,605,2,10941,56.43,12,26
1144,60 months,22.9,77.86,G,4 years,MORTGAGE,199312.82,Default,debt_consolidation,25.59,7,637,844,4,8224,12.23,43,37
7551,60 months,17.96,461.68,C,< 1 year,RENT,165048.71,Default,credit_card,13.72,3,674,629,2,35883,50.31,11,9
30775,36 months,6.1,587.77,G,< 1 year,OWN,105142.76,Default,major_purchase,11.85,5,827,722,8,47719,59.88,47,46
15534,36 months,8.74,629.46,F,4 years,OTHER,114004.52,Default,small_business,4.06,8,842,741,8,4149,80.31,49,23
29743,36 months,11.71,259.71,A,6 years,MORTGAGE,29553.23,Default,debt_consolidation,16.02,3,793,800,7,5167,20.25,22,38
24366,60 months,20.48,491.6,A,4 years,RENT,26063.81,Charged Off,major_purchase,22.2,4,688,628,6,16820,7.35,12,1
34588,36 months,22.28,696.65,G,10+ years,MORTGAGE,47934.99,Fully Paid,debt_consolidation,17.37,3,759,668,2,40079,12.7,34,48
27296,60 months,22.04,672.93,G,2 years,RENT,94387.46,Fully Paid,debt_consolidation,2.49,2,778,634,0,40546,43.43,18,21
5043,36 months,7.48,972.31,D,2 years,OWN,69760.56,Default,credit_card,15.89,4,731,839,7,31370,47.03,13,26
25297,60 months,11.06,446.02,C,4 years,RENT,121540.76,Default,credit_card,12.47,5,715,695,1,24701,44.54,8,14
25355,36 months,15.68,479.3,E,7 years,OWN,76441.74,Charged Off,home_improvement,11.37,2,757,840,5,39022,62.66,5,22
37874,36 months,17.02,294.78,E,7 years,MORTGAGE,159377.95,Default,major_purchase,13.19,4,807,831,9,1369,15.85,20,31
4421,36 months,5.04,84.11,G,9 years,OTHER,142699.14,Charged Off,small_business,27.1,4,714,621,2,27770,71.18,9,40
36918,60 months,16.91,162.29,A,6 years,MORTGAGE,172431.18,Default,small_business,20.73,5,726,822,8,33387,85.8,17,41
27556,36 months,14.0,573.62,A,6 years,MORTGAGE,64501.41,Default,debt_consolidation,12.13,9,664,702,8,18354,16.78,42,6
7632,60 months,11.1,598.52,G,9 years,RENT,131336.75,Fully Paid,small_business,4.36,9,755,723,1,8659,56.19,17,6
9339,36 months,5.2,693.27,A,4 years,OTHER,102914.75,Charged Off,debt_consolidation,14.39,5,762,651,1,39422,6.51,31,21
11010,60 months,24.77,61.49,A,10+ years,OTHER,55963.12,Default,debt_consolidation,16.77,7,842,732,1,28872,40.15,10,29
34231,60 months,17.2,715.84,E,2 years,MORTGAGE,141080.46,Default,debt_consolidation,16.59,9,679,831,6,3143,93.39,36,8
36846,36 months,17.95,454.34,G,7 years,OTHER,26039.66,Default,credit_card,6.52,1,613,697,4,7255,32.53,21,19
21381,36 months,7.01,359.61,C,10+ years,MORTGAGE,174121.94,Charged Off,credit_card,3.13,1,657,799,2,45430,95.7,15,4
24334,60 months,8.75,682.55,B,7 years,OTHER,195475.36,Default,debt_consolidation,27.53,4,779,695,9,2504,64.68,7,15
26834,36 months,8.69,589.05,D,1 year,OTHER,69357.33,Charged Off,small_business,4.57,1,727,627,6,25337,78.07,11,14
28976,36 months,22.04,692.17,E,6 years,OTHER,56959.58,Fully Paid,small_business,12.4,9,706,772,1,46790,50.29,40,41
15640,36 months,10.21,985.41,E,2 years,RENT,188625.99,Charged Off,small_business,15.94,4,624,668,7,4045,41.96,34,30
18096,60 months,23.48,553.12,B,4 years,OWN,127153.95,Charged Off,credit_card,8.6,8,788,743,5,30801,85.45,49,3
38104,36 months,7.76,625.34,D,2 years,OTHER,176535.78,Charged Off,small_business,23.78,7,619,744,5,2726,76.01,38,4
17747,36 months,7.68,431.6,D,4 years,MORTGAGE,136199.26,Charged Off,debt_consolidation,12.62,0,636,681,9,1819,77.52,5,13
21380,60 months,16.78,380.38,B,10+ years,OWN,23855.03,Default,credit_card,2.33,8,839,723,8,20504,24.41,48,8
5125,36 months,21.52,429.62,E,7 years,RENT,139952.84,Default,major_purchase,13.02,5,840,733,8,33657,94.61,45,28
26478,36 months,17.31,517.77,D,5 years,MORTGAGE,84603.94,Default,small_business,11.21,1,829,645,8,39178,82.69,23,14
8361,60 months,22.88,493.82,B,10+ years,RENT,191224.43,Fully Paid,small_business,1.39,3,699,685,3,8698,22.11,35,42
28657,36 months,19.56,386.74,A,4 years,OTHER,75318.46,Fully Paid,debt_consolidation,6.24,0,821,637,6,8729,94.67,21,31
1851,60 months,13.88,109.64,E,5 years,MORTGAGE,39233.87,Default,credit_card,6.59,2,846,657,5,43030,89.78,33,6
35097,60 months,10.3,693.0,F,< 1 year,OWN,58083.89,Default,credit_card,2.89,5,635,786,5,11416,39.54,31,31
26770,36 months,7.86,849.63,B,5 years,OWN,109034.97,Fully Paid,major_purchase,8.41,1,628,637,5,42444,66.0,37,15
1498,60 months,20.6,570.93,C,5 years,OTHER,92593.62,Charged Off,small_business,1.81,5,715,602,7,16656,69.12,16,37
37659,36 months,18.81,77.17,G,9 years,OTHER,183019.61,Default,home_improvement,3.51,0,753,740,4,31877,94.85,8,48
2934,60 months,8.65,408.54,B,2 years,OWN,144129.29,Fully Paid,small_business,10.87,0,788,814,8,22335,71.15,32,13
38260,60 months,9.37,602.22,B,6 years,RENT,45951.77,Charged Off,major_purchase,0.72,4,810,641,6,2351,18.38,48,32
20542,60 months,23.47,327.23,C,8 years,MORTGAGE,135469.7,Charged Off,major_purchase,7.17,9,813,799,6,15126,4.09,24,42
18003,60 months,15.39,467.64,D,5 years,MORTGAGE,90612.13,Default,debt_consolidation,19.02,5,613,666,1,42531,64.42,32,25
34458,36 months,22.39,93.74,D,10+ years,RENT,183948.59,Fully Paid,major_purchase,11.93,5,849,635,3,36337,67.88,5,34
7502,36 months,14.34,914.67,D,6 years,MORTGAGE,62349.04,Fully Paid,debt_consolidation,22.37,1,636,789,0,48945,78.81,37,31
25151,60 months,9.98,232.89,B,6 years,MORTGAGE,95278.18,Default,credit_card,22.79,9,752,721,8,13613,4.9,26,24
2013,36 months,17.66,899.93,C,2 years,MORTGAGE,179957.28,Default,small_business,19.82,4,665,707,6,47800,50.76,42,12
3647,60 months,17.5,799.66,B,10+ years,RENT,151029.28,Charged Off,debt_consolidation,17.47,8,662,736,7,32601,65.87,47,14
23532,36 months,21.87,749.25,D,2 years,OWN,148347.46,Default,debt_consolidation,22.09,4,744,807,3,22358,8.44,9,32
17721,60 months,6.43,980.24,E,1 year,OWN,47360.86,Fully Paid,small_business,29.12,1,651,837,5,34278,91.74,8,46
27569,60 months,8.45,294.26,D,7 years,MORTGAGE,90703.93,Default,debt_consolidation,10.7,3,704,814,5,25175,71.3,34,49
9579,60 months,12.78,331.42,A,7 years,OTHER,123403.51,Charged Off,credit_card,15.43,2,795,749,3,22955,55.72,32,29
2126,36 months,14.25,85.16,D,2 years,MORTGAGE,124080.76,Charged Off,small_business,28.56,8,608,684,1,9165,89.26,5,46
36274,60 months,6.75,91.63,A,4 years,OTHER,50680.16,Default,home_improvement,19.89,2,695,794,2,19134,35.38,11,41
6108,60 months,8.08,383.45,G,10+ years,MORTGAGE,170877.21,Default,home_improvement,3.19,4,603,750,9,27840,41.86,48,23
